#,Song Title,Saga,Video Title,Artist,Views,Likes,Comments,Duration,Uploaded Date,link
8,Remember Them,Cyclops,Remember Them | EPIC: The Musical | Updated Audio,WolfyTheWitch,186558,6583,129,4:09,2025-04-12,https://www.youtube.com/watch?v=_I657h4Ibxo
8,Remember Them,Cyclops,EPIC: The Musical IN LEGO - REMEMBER THEM @JayHerrans #epicthemusical #animation #art  #stopmotion,BucketsAnimations,108537,12718,521,4:08,2024-10-31,https://www.youtube.com/watch?v=QkO4BJMCYJI
8,Remember Them,Cyclops,Remember Them (EPIC: The Musical/Animatic),Ryuso Art,12989,606,33,4:08,2023-11-10,https://www.youtube.com/watch?v=eZ_bPr-cbGY
8,Remember Them,Cyclops,[EPIC: The Musical] Remember Them (Fan Animatic),Sirell,136357,7065,506,4:10,2025-11-20,https://www.youtube.com/watch?v=fHqslF9e02I
8,Remember Them,Cyclops,Remember Them | EPIC The Musical Animatic,The Traveling Pen,3027,245,25,4:04,2025-12-11,https://www.youtube.com/watch?v=HSbVDjTLFJE
8,Remember Them,Cyclops,Remember Them - EPIC: The Musical Animatic,mircsy,149022,12928,779,4:08,2026-02-21,https://www.youtube.com/watch?v=XN15ruJb39s
9,My Goodbye,Cyclops,My Goodbye - EPIC: The Musical Animatic (FLASH WARNING),mircsy,2011955,47652,1319,3:21,2023-05-10,https://www.youtube.com/watch?v=e8EVxeDTx2E
9,My Goodbye,Cyclops,My Goodbye | EPIC the Musical animatic!,PlutoJune,24318,1228,25,3:18,2024-08-10,https://www.youtube.com/watch?v=orCmPKHirs0
9,My Goodbye,Cyclops,My Goodbye | EPIC: The Musical Animatic,Rated Ric,22827,1275,36,3:19,2025-02-19,https://www.youtube.com/watch?v=8Mql5Eds63M
9,My Goodbye,Cyclops,My Goodbye | EPIC: The Musical | Updated Audio,WolfyTheWitch,157840,6634,94,3:19,2025-04-12,https://www.youtube.com/watch?v=tOq7EvHfXqs
9,My Goodbye,Cyclops,My Goodbye | EPIC: The Musical Animatic,Sketchy,7522,584,34,3:24,2025-06-24,https://www.youtube.com/watch?v=oBgrj8jkqYc
9,My Goodbye,Cyclops,【My Goodbye】 - Epic the musical animatics,KROYA,5360,380,16,3:26,2025-06-15,https://www.youtube.com/watch?v=618pqrVCHP0
9,My Goodbye,Cyclops,My Goodbye l EPIC the Musical l Animation/Animatic,Akira,74206,5135,212,3:29,2025-09-19,https://www.youtube.com/watch?v=Az77_5yxkuY
9,My Goodbye,Cyclops,My Goodbye Animatic (Epic: The Musical),ChristArtist,324,25,3,3:19,2025-10-11,https://www.youtube.com/watch?v=Gn2CFFL4v5Y
9,My Goodbye,Cyclops,My Goodbye | EPIC the Musical Animatic,The Traveling Pen,7564,577,34,3:16,2026-01-11,https://www.youtube.com/watch?v=0iW_2iAIZ4o
9,My Goodbye,Cyclops,[EPIC: The Musical] My Goodbye (Fan Animatic),Sirell,134389,8306,497,3:20,2026-02-12,https://www.youtube.com/watch?v=U6r-pOuRnkE
10,Storm,Cyclops,storm I Epic: The musical I Animatic,Bambi,123252,4359,107,2:48,2024-09-08,https://www.youtube.com/watch?v=974Q4l5MkKo
10,Storm,Cyclops,Storm - Epic The Musical Animatic,Asiri,5699,326,33,2:38,2025-05-05,https://www.youtube.com/watch?v=v_xdC5c9KiM
10,Storm,Ocean,Storm / EPIC: the musical / Animatic,Ximena Natzel,3931868,53911,711,2:44,2024-02-10,https://www.youtube.com/watch?v=2JFLwhARquw
10,Storm,Ocean,Storm | Epic: The Musical - animatic,WafflesToACrisp,104107,5752,267,2:43,2025-09-02,https://www.youtube.com/watch?v=bcaLB9C39qY
10,Storm,Ocean,Storm : Epic the musical / animatic,MERULANDIA!,2928,193,38,2:44,2025-12-13,https://www.youtube.com/watch?v=kT_uRAO-tXM
10,Storm,Ocean,Storm | EPIC: The Musical Fan 3D Animation,Teresa Coimbra,406,37,7,2:42,2026-02-22,https://www.youtube.com/watch?v=tJWQHkSI26E
10,Storm,Ocean,[EPIC: The Musical] Storm (Fan Animatic),Sirell,41796,4745,500,2:42,2026-03-13,https://www.youtube.com/watch?v=ABjqug-xNxU
10/11,Storm/Luck Runs Out,Ocean,Storm / Luck Runs Out | EPIC The Musical Animatic,The Traveling Pen,3785,248,33,5:44,2026-02-11,https://www.youtube.com/watch?v=QAJ8DYKQqm8
